27,EVL-2X15D4,,,,"Skar Audio Dual 15"" 5000W Loaded EVL Series Vented Subwoofer Enclosure | EVL-2X15D4",0.00,0.00,0.00,0.00,,0,,yes,,
28,EVL-65 D2,,,,"Skar Audio EVL-65 D2 6.5"" 400 Watt Max Power Dual 2 Ohm Car Subwoofer",0.00,0.00,0.00,0.00,AISLE: 3 || LEVEL: 1 || LOC: A1,0,,yes,,
29,EVL-65 D4,,,,"Skar Audio EVL-65 D4 6.5"" 400 Watt Max Power Dual 4 Ohm Car Subwoofer",0.00,0.00,0.00,0.00,AISLE: 3 || LEVEL: 1 || LOC: A2,0,,yes,,
30,FSX10-4,,,,"FSX10 | 10"" 400 Watt Mid-Range Loudspeaker - Single 4 Ohm",0.00,0.00,0.00,0.00,AISLE: 6 || LEVEL: 1 || LOC: A7,0,,yes,,
31,FSX10-8,,,,Skar Audio FSX10-8 400-Watt Single 10-Inch 8 Ohm Mid-Range Loudspeaker,0.00,0.00,0.00,0.00,AISLE: 6 || LEVEL: 1 || LOC: A8,0,,yes,,
32,FSX65-4,,,,"FSX65 | 6.5"" 300 Watt Mid-Range Loudspeaker - Single 4 Ohm",0.00,0.00,0.00,0.00,AISLE: 6 || LEVEL: 1 || LOC: A3,0,,yes,,
33,FSX65-8,,,,Skar Audio FSX65-8 300-Watt Single 6.5-Inch 8 Ohm Mid-Range Loudspeaker,0.00,0.00,0.00,0.00,AISLE: 6 || LEVEL: 1 || LOC: A4,0,,yes,,
34,FSX8-4,,,,"FSX8 | 8"" 350 Watt Mid-Range Loudspeaker - Single 4 Ohm",0.00,0.00,0.00,0.00,AISLE: 6 || LEVEL: 1 || LOC: A5,0,,yes,,
35,FSX8-8,,,,Skar Audio FSX8-8 350-Watt Single 8-Inch 8 Ohm Mid-Range Loudspeaker,0.00,0.00,0.00,0.00,AISLE: 6 || LEVEL: 1 || LOC: A6,0,,yes,,
36,IX-10 D2,,,,"Skar Audio IX-10 D2 10"" 400 Watt Max Power Dual 2 Ohm Car Subwoofer",0.00,0.00,0.00,0.00,AISLE: 5 || LEVEL: 1 || LOC: A13,0,,yes,,
